資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20240830,USD,本行買入,31.54,31.89,31.862,31.773,31.657,31.545,31.44,31.33,31.245,本行賣出,32.21,31.99,31.968,31.887,31.781,31.68,31.585,31.49,31.418
20240829,USD,本行買入,31.51,31.86,31.832,31.743,31.627,31.515,31.41,31.3,31.215,本行賣出,32.18,31.96,31.938,31.857,31.751,31.65,31.555,31.46,31.388
20240828,USD,本行買入,31.55,31.9,31.872,31.783,31.667,31.555,31.45,31.34,31.255,本行賣出,32.22,32,31.978,31.897,31.791,31.69,31.595,31.5,31.428
20240827,USD,本行買入,31.53,31.88,31.852,31.763,31.647,31.535,31.43,31.32,31.235,本行賣出,32.2,31.98,31.958,31.877,31.771,31.67,31.575,31.48,31.408
20240826,USD,本行買入,31.41,31.76,31.732,31.643,31.527,31.415,31.31,31.2,31.115,本行賣出,32.08,31.86,31.838,31.757,31.651,31.55,31.455,31.36,31.288
20240823,USD,本行買入,31.56,31.91,31.882,31.793,31.677,31.565,31.46,31.35,31.265,本行賣出,32.23,32.01,31.988,31.907,31.801,31.7,31.605,31.51,31.438
20240822,USD,本行買入,31.565,31.915,31.887,31.798,31.682,31.57,31.465,31.355,31.27,本行賣出,32.235,32.015,31.993,31.912,31.806,31.705,31.61,31.515,31.443
20240821,USD,本行買入,31.535,31.885,31.857,31.768,31.652,31.54,31.435,31.325,31.24,本行賣出,32.205,31.985,31.963,31.882,31.776,31.675,31.58,31.485,31.413
20240820,USD,本行買入,31.58,31.93,31.902,31.813,31.697,31.585,31.48,31.37,31.285,本行賣出,32.25,32.03,32.008,31.927,31.821,31.72,31.625,31.53,31.458
20240819,USD,本行買入,31.625,31.975,31.947,31.858,31.742,31.63,31.525,31.415,31.33,本行賣出,32.295,32.075,32.053,31.972,31.866,31.765,31.67,31.575,31.503
20240816,USD,本行買入,31.88,32.23,32.202,32.113,31.997,31.885,31.78,31.67,31.585,本行賣出,32.55,32.33,32.308,32.227,32.121,32.02,31.925,31.83,31.758
20240815,USD,本行買入,31.88,32.23,32.202,32.113,31.997,31.885,31.78,31.67,31.585,本行賣出,32.55,32.33,32.308,32.227,32.121,32.02,31.925,31.83,31.758
20240814,USD,本行買入,31.9,32.25,32.222,32.133,32.017,31.905,31.8,31.69,31.605,本行賣出,32.57,32.35,32.328,32.247,32.141,32.04,31.945,31.85,31.778
20240813,USD,本行買入,32.075,32.425,32.397,32.308,32.192,32.08,31.975,31.865,31.78,本行賣出,32.745,32.525,32.503,32.422,32.316,32.215,32.12,32.025,31.953
20240812,USD,本行買入,32.06,32.41,32.382,32.293,32.177,32.065,31.96,31.85,31.765,本行賣出,32.73,32.51,32.488,32.407,32.301,32.2,32.105,32.01,31.938
20240809,USD,本行買入,32.03,32.38,32.352,32.263,32.147,32.035,31.93,31.82,31.735,本行賣出,32.7,32.48,32.458,32.377,32.271,32.17,32.075,31.98,31.908
20240808,USD,本行買入,32.17,32.52,32.492,32.403,32.287,32.175,32.07,31.96,31.875,本行賣出,32.84,32.62,32.598,32.517,32.411,32.31,32.215,32.12,32.048
20240807,USD,本行買入,32.285,32.635,32.607,32.518,32.402,32.29,32.185,32.075,31.99,本行賣出,32.955,32.735,32.713,32.632,32.526,32.425,32.33,32.235,32.163
20240806,USD,本行買入,32.29,32.64,32.612,32.523,32.407,32.295,32.19,32.08,31.995,本行賣出,32.96,32.74,32.718,32.637,32.531,32.43,32.335,32.24,32.168
20240805,USD,本行買入,32.245,32.595,32.567,32.478,32.362,32.25,32.145,32.035,31.95,本行賣出,32.915,32.695,32.673,32.592,32.486,32.385,32.29,32.195,32.123
20240802,USD,本行買入,32.415,32.765,32.737,32.648,32.532,32.42,32.315,32.205,32.12,本行賣出,33.085,32.865,32.843,32.762,32.656,32.555,32.46,32.365,32.293
20240801,USD,本行買入,32.375,32.725,32.697,32.608,32.492,32.38,32.275,32.165,32.08,本行賣出,33.045,32.825,32.803,32.722,32.616,32.515,32.42,32.325,32.253
