資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20241129,USD,本行買入,32.07,32.42,32.394,32.32,32.225,32.125,32.038,31.938,31.854,本行賣出,32.74,32.52,32.5,32.432,32.348,32.257,32.184,32.097,32.02
20241128,USD,本行買入,32.13,32.48,32.454,32.38,32.285,32.185,32.098,31.998,31.914,本行賣出,32.8,32.58,32.56,32.492,32.408,32.317,32.244,32.157,32.08
20241127,USD,本行買入,32.135,32.485,32.459,32.385,32.29,32.19,32.103,32.003,31.919,本行賣出,32.805,32.585,32.565,32.497,32.413,32.322,32.249,32.162,32.085
20241126,USD,本行買入,32.11,32.46,32.434,32.36,32.265,32.165,32.078,31.978,31.894,本行賣出,32.78,32.56,32.54,32.472,32.388,32.297,32.224,32.137,32.06
20241125,USD,本行買入,32.08,32.43,32.404,32.33,32.235,32.135,32.048,31.948,31.864,本行賣出,32.75,32.53,32.51,32.442,32.358,32.267,32.194,32.107,32.03
20241122,USD,本行買入,32.19,32.54,32.514,32.44,32.345,32.245,32.158,32.058,31.974,本行賣出,32.86,32.64,32.62,32.552,32.468,32.377,32.304,32.217,32.14
20241121,USD,本行買入,32.145,32.495,32.469,32.392,32.296,32.195,32.11,32.023,31.935,本行賣出,32.815,32.595,32.576,32.505,32.42,32.33,32.256,32.18,32.103
20241120,USD,本行買入,32.095,32.445,32.419,32.342,32.246,32.145,32.06,31.973,31.885,本行賣出,32.765,32.545,32.526,32.455,32.37,32.28,32.206,32.13,32.053
20241119,USD,本行買入,32.01,32.36,32.335,32.261,32.153,32.068,31.98,31.886,31.795,本行賣出,32.68,32.46,32.441,32.375,32.28,32.207,32.132,32.054,31.975
20241118,USD,本行買入,32.135,32.485,32.46,32.386,32.278,32.193,32.105,32.011,31.92,本行賣出,32.805,32.585,32.566,32.5,32.405,32.332,32.257,32.179,32.1
20241115,USD,本行買入,32.07,32.42,32.395,32.321,32.213,32.128,32.04,31.946,31.855,本行賣出,32.74,32.52,32.501,32.435,32.34,32.267,32.192,32.114,32.035
20241114,USD,本行買入,32.165,32.515,32.49,32.416,32.308,32.223,32.135,32.041,31.95,本行賣出,32.835,32.615,32.596,32.53,32.435,32.362,32.287,32.209,32.13
20241113,USD,本行買入,32.05,32.4,32.375,32.295,32.204,32.109,32.024,31.933,31.85,本行賣出,32.72,32.5,32.482,32.408,32.33,32.246,32.173,32.093,32.02
20241112,USD,本行買入,32.035,32.385,32.36,32.28,32.189,32.094,32.009,31.918,31.835,本行賣出,32.705,32.485,32.467,32.393,32.315,32.231,32.158,32.078,32.005
20241111,USD,本行買入,31.85,32.2,32.174,32.098,32.002,31.911,31.805,31.73,31.655,本行賣出,32.52,32.3,32.281,32.211,32.126,32.045,31.96,31.896,31.835
20241108,USD,本行買入,31.715,32.065,32.039,31.963,31.867,31.776,31.67,31.595,31.52,本行賣出,32.385,32.165,32.146,32.076,31.991,31.91,31.825,31.761,31.7
20241107,USD,本行買入,31.84,32.19,32.164,32.088,31.992,31.901,31.795,31.72,31.645,本行賣出,32.51,32.29,32.271,32.201,32.116,32.035,31.95,31.886,31.825
20241106,USD,本行買入,31.775,32.125,32.099,32.023,31.927,31.836,31.73,31.655,31.58,本行賣出,32.445,32.225,32.206,32.136,32.051,31.97,31.885,31.821,31.76
20241105,USD,本行買入,31.57,31.92,31.894,31.818,31.722,31.631,31.525,31.45,31.375,本行賣出,32.24,32.02,32.001,31.931,31.846,31.765,31.68,31.616,31.555
20241104,USD,本行買入,31.57,31.92,31.894,31.818,31.722,31.631,31.525,31.45,31.375,本行賣出,32.24,32.02,32.001,31.931,31.846,31.765,31.68,31.616,31.555
20241101,USD,本行買入,31.565,31.915,31.889,31.813,31.717,31.626,31.52,31.445,31.37,本行賣出,32.235,32.015,31.996,31.926,31.841,31.76,31.675,31.611,31.55
