資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20240731,USD,本行買入,32.435,32.785,32.757,32.668,32.552,32.44,32.335,32.225,32.14,本行賣出,33.105,32.885,32.863,32.782,32.676,32.575,32.48,32.385,32.313
20240730,USD,本行買入,32.45,32.8,32.772,32.683,32.567,32.455,32.35,32.24,32.155,本行賣出,33.12,32.9,32.878,32.797,32.691,32.59,32.495,32.4,32.328
20240729,USD,本行買入,32.47,32.82,32.792,32.703,32.587,32.475,32.37,32.26,32.175,本行賣出,33.14,32.92,32.898,32.817,32.711,32.61,32.515,32.42,32.348
20240726,USD,本行買入,32.43,32.78,32.752,32.663,32.547,32.435,32.33,32.22,32.135,本行賣出,33.1,32.88,32.858,32.777,32.671,32.57,32.475,32.38,32.308
20240724,USD,本行買入,32.43,32.78,32.753,32.66,32.547,32.439,32.329,32.223,32.126,本行賣出,33.1,32.88,32.858,32.771,32.669,32.57,32.47,32.374,32.287
20240723,USD,本行買入,32.44,32.79,32.761,32.664,32.55,32.44,32.331,32.221,32.123,本行賣出,33.11,32.89,32.867,32.781,32.678,32.58,32.481,32.385,32.296
20240722,USD,本行買入,32.45,32.8,32.771,32.673,32.562,32.453,32.34,32.238,32.133,本行賣出,33.12,32.9,32.877,32.787,32.688,32.591,32.489,32.4,32.305
20240719,USD,本行買入,32.33,32.68,32.652,32.563,32.446,32.34,32.225,32.125,32.025,本行賣出,33,32.78,32.758,32.676,32.572,32.475,32.375,32.29,32.192
20240718,USD,本行買入,32.205,32.555,32.527,32.438,32.321,32.215,32.1,32,31.9,本行賣出,32.875,32.655,32.633,32.551,32.447,32.35,32.25,32.165,32.067
20240717,USD,本行買入,32.215,32.565,32.537,32.448,32.331,32.225,32.11,32.01,31.91,本行賣出,32.885,32.665,32.643,32.561,32.457,32.36,32.26,32.175,32.077
20240716,USD,本行買入,32.225,32.575,32.547,32.458,32.341,32.235,32.12,32.02,31.92,本行賣出,32.895,32.675,32.653,32.571,32.467,32.37,32.27,32.185,32.087
20240715,USD,本行買入,32.175,32.525,32.497,32.408,32.291,32.185,32.07,31.97,31.87,本行賣出,32.845,32.625,32.603,32.521,32.417,32.32,32.22,32.135,32.037
20240712,USD,本行買入,32.16,32.51,32.482,32.393,32.276,32.17,32.055,31.955,31.855,本行賣出,32.83,32.61,32.588,32.506,32.402,32.305,32.205,32.12,32.022
20240711,USD,本行買入,32.11,32.46,32.432,32.344,32.225,32.119,32.007,31.897,31.79,本行賣出,32.78,32.56,32.538,32.457,32.352,32.257,32.155,32.058,31.96
20240710,USD,本行買入,32.185,32.535,32.507,32.419,32.3,32.194,32.082,31.972,31.865,本行賣出,32.855,32.635,32.613,32.532,32.427,32.332,32.23,32.133,32.035
20240709,USD,本行買入,32.15,32.5,32.472,32.384,32.265,32.159,32.047,31.937,31.83,本行賣出,32.82,32.6,32.578,32.497,32.392,32.297,32.195,32.098,32
20240708,USD,本行買入,32.095,32.445,32.417,32.329,32.21,32.104,31.992,31.882,31.775,本行賣出,32.765,32.545,32.523,32.442,32.337,32.242,32.14,32.043,31.945
20240705,USD,本行買入,32.075,32.425,32.397,32.309,32.19,32.084,31.972,31.862,31.755,本行賣出,32.745,32.525,32.503,32.422,32.317,32.222,32.12,32.023,31.925
20240704,USD,本行買入,32.075,32.425,32.397,32.309,32.19,32.084,31.972,31.862,31.755,本行賣出,32.745,32.525,32.503,32.422,32.317,32.222,32.12,32.023,31.925
20240703,USD,本行買入,32.23,32.58,32.552,32.459,32.35,32.235,32.12,32.017,31.915,本行賣出,32.9,32.68,32.658,32.572,32.474,32.37,32.272,32.177,32.085
20240702,USD,本行買入,32.22,32.57,32.542,32.449,32.34,32.225,32.11,32.007,31.905,本行賣出,32.89,32.67,32.648,32.562,32.464,32.36,32.262,32.167,32.075
20240701,USD,本行買入,32.145,32.495,32.467,32.374,32.265,32.15,32.035,31.932,31.83,本行賣出,32.815,32.595,32.573,32.487,32.389,32.285,32.187,32.092,32
