資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20240329,USD,本行買入,31.6,31.95,31.923,31.831,31.708,31.598,31.486,31.371,31.26,本行賣出,32.27,32.05,32.029,31.945,31.837,31.74,31.64,31.538,31.44
20240328,USD,本行買入,31.59,31.94,31.913,31.821,31.698,31.588,31.476,31.361,31.25,本行賣出,32.26,32.04,32.019,31.935,31.827,31.73,31.63,31.528,31.43
20240327,USD,本行買入,31.6,31.95,31.923,31.831,31.708,31.598,31.486,31.371,31.26,本行賣出,32.27,32.05,32.029,31.945,31.837,31.74,31.64,31.538,31.44
20240326,USD,本行買入,31.505,31.855,31.828,31.736,31.613,31.503,31.391,31.276,31.165,本行賣出,32.175,31.955,31.934,31.85,31.742,31.645,31.545,31.443,31.345
20240325,USD,本行買入,31.465,31.815,31.788,31.696,31.573,31.463,31.351,31.236,31.125,本行賣出,32.135,31.915,31.894,31.81,31.702,31.605,31.505,31.403,31.305
20240322,USD,本行買入,31.56,31.91,31.883,31.791,31.668,31.558,31.446,31.331,31.22,本行賣出,32.23,32.01,31.989,31.905,31.797,31.7,31.6,31.498,31.4
20240321,USD,本行買入,31.435,31.785,31.758,31.658,31.55,31.432,31.308,31.201,31.08,本行賣出,32.105,31.885,31.863,31.772,31.674,31.567,31.458,31.361,31.26
20240320,USD,本行買入,31.47,31.82,31.793,31.693,31.585,31.467,31.343,31.236,31.115,本行賣出,32.14,31.92,31.898,31.807,31.709,31.602,31.493,31.396,31.295
20240319,USD,本行買入,31.38,31.73,31.703,31.603,31.495,31.377,31.253,31.146,31.025,本行賣出,32.05,31.83,31.808,31.717,31.619,31.512,31.403,31.306,31.205
20240318,USD,本行買入,31.26,31.61,31.583,31.483,31.375,31.257,31.133,31.026,30.905,本行賣出,31.93,31.71,31.688,31.597,31.499,31.392,31.283,31.186,31.085
20240315,USD,本行買入,31.2,31.55,31.523,31.429,31.308,31.192,31.08,30.965,30.854,本行賣出,31.87,31.65,31.629,31.544,31.435,31.329,31.23,31.127,31.025
20240314,USD,本行買入,31.1,31.45,31.418,31.332,31.205,31.095,30.982,30.865,30.758,本行賣出,31.77,31.55,31.524,31.448,31.335,31.235,31.13,31.028,30.93
20240313,USD,本行買入,31.065,31.415,31.383,31.297,31.17,31.06,30.947,30.83,30.723,本行賣出,31.735,31.515,31.489,31.413,31.3,31.2,31.095,30.993,30.895
20240312,USD,本行買入,31.02,31.37,31.338,31.252,31.125,31.015,30.902,30.785,30.678,本行賣出,31.69,31.47,31.444,31.368,31.255,31.155,31.05,30.948,30.85
20240311,USD,本行買入,31.02,31.37,31.338,31.252,31.125,31.015,30.902,30.785,30.678,本行賣出,31.69,31.47,31.444,31.368,31.255,31.155,31.05,30.948,30.85
20240308,USD,本行買入,31.03,31.38,31.348,31.262,31.135,31.025,30.912,30.795,30.688,本行賣出,31.7,31.48,31.454,31.378,31.265,31.165,31.06,30.958,30.86
20240307,USD,本行買入,31.14,31.49,31.458,31.372,31.245,31.135,31.022,30.905,30.798,本行賣出,31.81,31.59,31.564,31.488,31.375,31.275,31.17,31.068,30.97
20240306,USD,本行買入,31.175,31.525,31.493,31.407,31.28,31.17,31.057,30.94,30.833,本行賣出,31.845,31.625,31.599,31.523,31.41,31.31,31.205,31.103,31.005
20240305,USD,本行買入,31.165,31.515,31.483,31.397,31.27,31.16,31.047,30.93,30.823,本行賣出,31.835,31.615,31.589,31.513,31.4,31.3,31.195,31.093,30.995
20240304,USD,本行買入,31.125,31.475,31.443,31.357,31.23,31.12,31.007,30.89,30.783,本行賣出,31.795,31.575,31.549,31.473,31.36,31.26,31.155,31.053,30.955
20240301,USD,本行買入,31.21,31.56,31.528,31.442,31.315,31.205,31.092,30.975,30.868,本行賣出,31.88,31.66,31.634,31.558,31.445,31.345,31.24,31.138,31.04
