資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20240531,USD,本行買入,32,32.35,32.322,32.227,32.113,31.998,31.878,31.775,31.652,本行賣出,32.67,32.45,32.428,32.341,32.24,32.135,32.028,31.927,31.823
20240530,USD,本行買入,32.04,32.39,32.362,32.267,32.153,32.038,31.918,31.815,31.692,本行賣出,32.71,32.49,32.468,32.381,32.28,32.175,32.068,31.967,31.863
20240529,USD,本行買入,31.895,32.245,32.217,32.122,32.008,31.893,31.773,31.67,31.547,本行賣出,32.565,32.345,32.323,32.236,32.135,32.03,31.923,31.822,31.718
20240528,USD,本行買入,31.77,32.12,32.092,31.997,31.883,31.768,31.648,31.545,31.422,本行賣出,32.44,32.22,32.198,32.111,32.01,31.905,31.798,31.697,31.593
20240527,USD,本行買入,31.78,32.13,32.102,32.007,31.893,31.778,31.658,31.555,31.432,本行賣出,32.45,32.23,32.208,32.121,32.02,31.915,31.808,31.707,31.603
20240524,USD,本行買入,31.865,32.215,32.187,32.092,31.978,31.863,31.743,31.64,31.517,本行賣出,32.535,32.315,32.293,32.206,32.105,32,31.893,31.792,31.688
20240523,USD,本行買入,31.84,32.19,32.162,32.067,31.953,31.838,31.718,31.615,31.492,本行賣出,32.51,32.29,32.268,32.181,32.08,31.975,31.868,31.767,31.663
20240522,USD,本行買入,31.875,32.225,32.197,32.102,31.988,31.873,31.753,31.65,31.527,本行賣出,32.545,32.325,32.303,32.216,32.115,32.01,31.903,31.802,31.698
20240521,USD,本行買入,31.89,32.24,32.212,32.117,32.003,31.888,31.768,31.665,31.542,本行賣出,32.56,32.34,32.318,32.231,32.13,32.025,31.918,31.817,31.713
20240520,USD,本行買入,31.835,32.185,32.157,32.062,31.948,31.821,31.707,31.6,31.48,本行賣出,32.505,32.285,32.263,32.178,32.073,31.959,31.857,31.757,31.653
20240517,USD,本行買入,31.81,32.16,32.132,32.037,31.923,31.796,31.682,31.575,31.455,本行賣出,32.48,32.26,32.238,32.153,32.048,31.934,31.832,31.732,31.628
20240516,USD,本行買入,31.705,32.055,32.027,31.932,31.818,31.691,31.577,31.47,31.35,本行賣出,32.375,32.155,32.133,32.048,31.943,31.829,31.727,31.627,31.523
20240515,USD,本行買入,31.905,32.255,32.227,32.132,32.018,31.891,31.777,31.67,31.55,本行賣出,32.575,32.355,32.333,32.248,32.143,32.029,31.927,31.827,31.723
20240514,USD,本行買入,32.015,32.365,32.336,32.234,32.127,32.007,31.885,31.776,31.66,本行賣出,32.685,32.465,32.443,32.354,32.255,32.145,32.035,31.938,31.835
20240513,USD,本行買入,32.015,32.365,32.336,32.234,32.127,32.007,31.885,31.776,31.66,本行賣出,32.685,32.465,32.443,32.354,32.255,32.145,32.035,31.938,31.835
20240510,USD,本行買入,32.015,32.365,32.336,32.24,32.126,32,31.886,31.77,31.656,本行賣出,32.685,32.465,32.442,32.352,32.25,32.135,32.036,31.931,31.823
20240509,USD,本行買入,32.055,32.405,32.376,32.28,32.166,32.04,31.926,31.81,31.696,本行賣出,32.725,32.505,32.482,32.392,32.29,32.175,32.076,31.971,31.863
20240508,USD,本行買入,32.01,32.36,32.331,32.235,32.121,31.995,31.881,31.765,31.651,本行賣出,32.68,32.46,32.437,32.347,32.245,32.13,32.031,31.926,31.818
20240507,USD,本行買入,31.97,32.32,32.291,32.186,32.08,31.96,31.842,31.729,31.603,本行賣出,32.64,32.42,32.396,32.304,32.205,32.096,31.99,31.888,31.772
20240506,USD,本行買入,31.95,32.3,32.271,32.179,32.059,31.944,31.819,31.713,31.597,本行賣出,32.62,32.4,32.377,32.293,32.186,32.082,31.97,31.875,31.769
20240503,USD,本行買入,31.975,32.325,32.296,32.204,32.084,31.969,31.844,31.738,31.622,本行賣出,32.645,32.425,32.402,32.318,32.211,32.107,31.995,31.9,31.794
20240502,USD,本行買入,32.1,32.45,32.42,32.325,32.203,32.088,31.968,31.849,31.735,本行賣出,32.77,32.55,32.527,32.441,32.328,32.227,32.118,32.012,31.91
