資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20240930,USD,本行買入,31.25,31.6,31.575,31.495,31.394,31.3,31.21,31.12,31.055,本行賣出,31.92,31.7,31.682,31.612,31.523,31.438,31.365,31.292,31.238
20240927,USD,本行買入,31.29,31.64,31.615,31.535,31.434,31.34,31.25,31.16,31.095,本行賣出,31.96,31.74,31.722,31.652,31.563,31.478,31.405,31.332,31.278
20240926,USD,本行買入,31.465,31.815,31.79,31.71,31.609,31.515,31.425,31.335,31.27,本行賣出,32.135,31.915,31.897,31.827,31.738,31.653,31.58,31.507,31.453
20240925,USD,本行買入,31.44,31.79,31.765,31.685,31.584,31.49,31.4,31.31,31.245,本行賣出,32.11,31.89,31.872,31.802,31.713,31.628,31.555,31.482,31.428
20240924,USD,本行買入,31.57,31.92,31.895,31.815,31.714,31.62,31.53,31.44,31.375,本行賣出,32.24,32.02,32.002,31.932,31.843,31.758,31.685,31.612,31.558
20240923,USD,本行買入,31.635,31.985,31.96,31.88,31.779,31.685,31.595,31.505,31.44,本行賣出,32.305,32.085,32.067,31.997,31.908,31.823,31.75,31.677,31.623
20240920,USD,本行買入,31.565,31.915,31.887,31.801,31.695,31.594,31.49,31.405,31.33,本行賣出,32.235,32.015,31.994,31.914,31.818,31.73,31.642,31.575,31.51
20240919,USD,本行買入,31.535,31.885,31.857,31.771,31.665,31.564,31.46,31.375,31.3,本行賣出,32.205,31.985,31.964,31.884,31.788,31.7,31.612,31.545,31.48
20240918,USD,本行買入,31.54,31.89,31.862,31.776,31.67,31.569,31.465,31.38,31.305,本行賣出,32.21,31.99,31.969,31.889,31.793,31.705,31.617,31.55,31.485
20240916,USD,本行買入,31.51,31.86,31.832,31.748,31.635,31.54,31.435,31.355,31.285,本行賣出,32.18,31.96,31.937,31.863,31.762,31.677,31.585,31.515,31.455
20240913,USD,本行買入,31.595,31.945,31.917,31.833,31.72,31.625,31.52,31.44,31.37,本行賣出,32.265,32.045,32.022,31.948,31.847,31.762,31.67,31.6,31.54
20240912,USD,本行買入,31.73,32.08,32.052,31.968,31.855,31.76,31.655,31.575,31.505,本行賣出,32.4,32.18,32.157,32.083,31.982,31.897,31.805,31.735,31.675
20240911,USD,本行買入,31.725,32.075,32.047,31.963,31.85,31.755,31.65,31.57,31.5,本行賣出,32.395,32.175,32.152,32.078,31.977,31.892,31.8,31.73,31.67
20240910,USD,本行買入,31.78,32.13,32.102,32.018,31.905,31.81,31.705,31.625,31.555,本行賣出,32.45,32.23,32.207,32.133,32.032,31.947,31.855,31.785,31.725
20240909,USD,本行買入,31.69,32.04,32.012,31.928,31.815,31.72,31.615,31.535,31.465,本行賣出,32.36,32.14,32.117,32.043,31.942,31.857,31.765,31.695,31.635
20240906,USD,本行買入,31.53,31.88,31.852,31.763,31.647,31.535,31.43,31.32,31.235,本行賣出,32.2,31.98,31.958,31.877,31.771,31.67,31.575,31.48,31.408
20240905,USD,本行買入,31.67,32.02,31.992,31.903,31.787,31.675,31.57,31.46,31.375,本行賣出,32.34,32.12,32.098,32.017,31.911,31.81,31.715,31.62,31.548
20240904,USD,本行買入,31.79,32.14,32.112,32.023,31.907,31.795,31.69,31.58,31.495,本行賣出,32.46,32.24,32.218,32.137,32.031,31.93,31.835,31.74,31.668
20240903,USD,本行買入,31.66,32.01,31.982,31.893,31.777,31.665,31.56,31.45,31.365,本行賣出,32.33,32.11,32.088,32.007,31.901,31.8,31.705,31.61,31.538
20240902,USD,本行買入,31.62,31.97,31.942,31.853,31.737,31.625,31.52,31.41,31.325,本行賣出,32.29,32.07,32.048,31.967,31.861,31.76,31.665,31.57,31.498
