資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20240628,USD,本行買入,32.05,32.4,32.372,32.279,32.17,32.055,31.94,31.837,31.735,本行賣出,32.72,32.5,32.478,32.392,32.294,32.19,32.092,31.997,31.905
20240627,USD,本行買入,32.13,32.48,32.452,32.359,32.25,32.135,32.02,31.917,31.815,本行賣出,32.8,32.58,32.558,32.472,32.374,32.27,32.172,32.077,31.985
20240626,USD,本行買入,32.15,32.5,32.472,32.379,32.27,32.155,32.04,31.937,31.835,本行賣出,32.82,32.6,32.578,32.492,32.394,32.29,32.192,32.097,32.005
20240625,USD,本行買入,32.045,32.395,32.367,32.274,32.165,32.05,31.935,31.832,31.73,本行賣出,32.715,32.495,32.473,32.387,32.289,32.185,32.087,31.992,31.9
20240624,USD,本行買入,31.99,32.34,32.312,32.219,32.11,31.995,31.88,31.777,31.675,本行賣出,32.66,32.44,32.418,32.332,32.234,32.13,32.032,31.937,31.845
20240621,USD,本行買入,31.97,32.32,32.292,32.199,32.09,31.975,31.86,31.757,31.655,本行賣出,32.64,32.42,32.398,32.312,32.214,32.11,32.012,31.917,31.825
20240620,USD,本行買入,31.925,32.275,32.247,32.154,32.045,31.93,31.815,31.712,31.61,本行賣出,32.595,32.375,32.353,32.267,32.169,32.065,31.967,31.872,31.78
20240619,USD,本行買入,31.955,32.305,32.277,32.184,32.075,31.96,31.845,31.742,31.64,本行賣出,32.625,32.405,32.383,32.297,32.199,32.095,31.997,31.902,31.81
20240618,USD,本行買入,31.995,32.345,32.317,32.224,32.115,32,31.885,31.782,31.68,本行賣出,32.665,32.445,32.423,32.337,32.239,32.135,32.037,31.942,31.85
20240617,USD,本行買入,31.985,32.335,32.307,32.213,32.102,31.985,31.865,31.76,31.66,本行賣出,32.655,32.435,32.413,32.327,32.229,32.125,32.02,31.923,31.828
20240614,USD,本行買入,31.945,32.295,32.267,32.173,32.062,31.945,31.825,31.72,31.62,本行賣出,32.615,32.395,32.373,32.287,32.189,32.085,31.98,31.883,31.788
20240613,USD,本行買入,31.93,32.28,32.252,32.158,32.047,31.93,31.81,31.705,31.605,本行賣出,32.6,32.38,32.358,32.272,32.174,32.07,31.965,31.868,31.773
20240612,USD,本行買入,31.985,32.335,32.307,32.213,32.102,31.985,31.865,31.76,31.66,本行賣出,32.655,32.435,32.413,32.327,32.229,32.125,32.02,31.923,31.828
20240611,USD,本行買入,31.995,32.345,32.317,32.223,32.112,31.995,31.875,31.77,31.67,本行賣出,32.665,32.445,32.423,32.337,32.239,32.135,32.03,31.933,31.838
20240607,USD,本行買入,31.85,32.2,32.172,32.077,31.963,31.848,31.728,31.625,31.502,本行賣出,32.52,32.3,32.278,32.191,32.09,31.985,31.878,31.777,31.673
20240606,USD,本行買入,31.87,32.22,32.192,32.097,31.983,31.868,31.748,31.645,31.522,本行賣出,32.54,32.32,32.298,32.211,32.11,32.005,31.898,31.797,31.693
20240605,USD,本行買入,31.94,32.29,32.262,32.167,32.053,31.938,31.818,31.715,31.592,本行賣出,32.61,32.39,32.368,32.281,32.18,32.075,31.968,31.867,31.763
20240604,USD,本行買入,31.995,32.345,32.317,32.222,32.108,31.993,31.873,31.77,31.647,本行賣出,32.665,32.445,32.423,32.336,32.235,32.13,32.023,31.922,31.818
20240603,USD,本行買入,31.995,32.345,32.317,32.222,32.108,31.993,31.873,31.77,31.647,本行賣出,32.665,32.445,32.423,32.336,32.235,32.13,32.023,31.922,31.818
