資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20240430,USD,本行買入,32.145,32.495,32.466,32.366,32.25,32.129,32.007,31.888,31.76,本行賣出,32.815,32.595,32.572,32.481,32.374,32.265,32.158,32.05,31.938
20240429,USD,本行買入,32.16,32.51,32.481,32.381,32.265,32.144,32.022,31.903,31.775,本行賣出,32.83,32.61,32.587,32.496,32.389,32.28,32.173,32.065,31.953
20240426,USD,本行買入,32.17,32.52,32.491,32.391,32.275,32.154,32.032,31.913,31.785,本行賣出,32.84,32.62,32.597,32.506,32.399,32.29,32.183,32.075,31.963
20240425,USD,本行買入,32.18,32.53,32.501,32.401,32.285,32.164,32.042,31.923,31.795,本行賣出,32.85,32.63,32.607,32.516,32.409,32.3,32.193,32.085,31.973
20240424,USD,本行買入,32.135,32.485,32.456,32.356,32.24,32.119,31.997,31.878,31.75,本行賣出,32.805,32.585,32.562,32.471,32.364,32.255,32.148,32.04,31.928
20240423,USD,本行買入,32.195,32.545,32.513,32.409,32.298,32.177,32.05,31.932,31.815,本行賣出,32.865,32.645,32.62,32.524,32.422,32.314,32.199,32.092,31.987
20240422,USD,本行買入,32.24,32.59,32.56,32.466,32.343,32.228,32.105,31.985,31.863,本行賣出,32.91,32.69,32.667,32.579,32.468,32.364,32.255,32.145,32.033
20240419,USD,本行買入,32.115,32.465,32.435,32.341,32.218,32.103,31.98,31.86,31.738,本行賣出,32.785,32.565,32.542,32.454,32.343,32.239,32.13,32.02,31.908
20240418,USD,本行買入,31.975,32.325,32.295,32.201,32.078,31.963,31.84,31.72,31.598,本行賣出,32.645,32.425,32.402,32.314,32.203,32.099,31.99,31.88,31.768
20240417,USD,本行買入,32.09,32.44,32.41,32.316,32.193,32.078,31.955,31.835,31.713,本行賣出,32.76,32.54,32.517,32.429,32.318,32.214,32.105,31.995,31.883
20240416,USD,本行買入,32.095,32.445,32.415,32.315,32.202,32.085,31.96,31.845,31.732,本行賣出,32.765,32.545,32.521,32.433,32.329,32.222,32.11,32.005,31.905
20240415,USD,本行買入,31.98,32.33,32.3,32.21,32.09,31.974,31.848,31.732,31.622,本行賣出,32.65,32.43,32.406,32.324,32.214,32.108,31.994,31.892,31.792
20240412,USD,本行買入,31.895,32.245,32.218,32.126,32.003,31.893,31.781,31.666,31.555,本行賣出,32.565,32.345,32.324,32.24,32.132,32.035,31.935,31.833,31.735
20240411,USD,本行買入,31.83,32.18,32.153,32.061,31.938,31.828,31.716,31.601,31.49,本行賣出,32.5,32.28,32.259,32.175,32.067,31.97,31.87,31.768,31.67
20240410,USD,本行買入,31.61,31.96,31.933,31.841,31.718,31.608,31.496,31.381,31.27,本行賣出,32.28,32.06,32.039,31.955,31.847,31.75,31.65,31.548,31.45
20240409,USD,本行買入,31.705,32.055,32.028,31.936,31.813,31.703,31.591,31.476,31.365,本行賣出,32.375,32.155,32.134,32.05,31.942,31.845,31.745,31.643,31.545
20240408,USD,本行買入,31.7,32.05,32.023,31.931,31.808,31.698,31.586,31.471,31.36,本行賣出,32.37,32.15,32.129,32.045,31.937,31.84,31.74,31.638,31.54
20240403,USD,本行買入,31.66,32.01,31.983,31.891,31.768,31.658,31.546,31.431,31.32,本行賣出,32.33,32.11,32.089,32.005,31.897,31.8,31.7,31.598,31.5
20240402,USD,本行買入,31.675,32.025,31.998,31.906,31.783,31.673,31.561,31.446,31.335,本行賣出,32.345,32.125,32.104,32.02,31.912,31.815,31.715,31.613,31.515
20240401,USD,本行買入,31.58,31.93,31.903,31.811,31.688,31.578,31.466,31.351,31.24,本行賣出,32.25,32.03,32.009,31.925,31.817,31.72,31.62,31.518,31.42
